id,symbols,countries,date,value
0,AED,United Arab Emirates Dirham,2023-08-01,4.043099
1,AED,United Arab Emirates Dirham,2023-08-02,4.019686
2,AED,United Arab Emirates Dirham,2023-08-03,4.022484
3,AED,United Arab Emirates Dirham,2023-08-04,4.049473
4,AED,United Arab Emirates Dirham,2023-08-05,4.04948
5,AED,United Arab Emirates Dirham,2023-08-06,4.041187
6,AED,United Arab Emirates Dirham,2023-08-07,4.041356
7,AED,United Arab Emirates Dirham,2023-08-08,4.025145
8,AED,United Arab Emirates Dirham,2023-08-09,4.031967
9,AED,United Arab Emirates Dirham,2023-08-10,4.03292
10,AED,United Arab Emirates Dirham,2023-08-11,4.026997
11,AED,United Arab Emirates Dirham,2023-08-12,4.026998
12,AED,United Arab Emirates Dirham,2023-08-13,4.027006
13,AED,United Arab Emirates Dirham,2023-08-14,4.014499
14,AED,United Arab Emirates Dirham,2023-08-15,4.009143
15,AFN,Afghan Afghani,2023-08-01,95.7661
16,AFN,Afghan Afghani,2023-08-02,93.477354
17,AFN,Afghan Afghani,2023-08-03,94.726257
18,AFN,Afghan Afghani,2023-08-04,93.962238
19,AFN,Afghan Afghani,2023-08-05,93.236207
20,AFN,Afghan Afghani,2023-08-06,93.143581
21,AFN,Afghan Afghani,2023-08-07,93.688385
22,AFN,Afghan Afghani,2023-08-08,93.177038
23,AFN,Afghan Afghani,2023-08-09,92.937526
24,AFN,Afghan Afghani,2023-08-10,92.676001
25,AFN,Afghan Afghani,2023-08-11,92.238958
26,AFN,Afghan Afghani,2023-08-12,92.482921
27,AFN,Afghan Afghani,2023-08-13,92.483124
28,AFN,Afghan Afghani,2023-08-14,92.901544
29,AFN,Afghan Afghani,2023-08-15,92.144328
30,ALL,Albanian Lek,2023-08-01,102.59183
31,ALL,Albanian Lek,2023-08-02,102.563852
32,ALL,Albanian Lek,2023-08-03,103.820043
33,ALL,Albanian Lek,2023-08-04,104.572666
34,ALL,Albanian Lek,2023-08-05,103.76465
35,ALL,Albanian Lek,2023-08-06,103.661564
36,ALL,Albanian Lek,2023-08-07,104.071316
37,ALL,Albanian Lek,2023-08-08,103.33701
38,ALL,Albanian Lek,2023-08-09,103.343725
39,ALL,Albanian Lek,2023-08-10,103.36421
